source,target,feature,ks_statistic,ks_pvalue,severe_drift
cm1,pc3,LOC_CODE_AND_COMMENT,0.3827,0.0,True
cm1,pc3,LOC_COMMENTS,0.385,0.0,True
cm1,pc3,LOC_EXECUTABLE,0.376,0.0,True
cm1,pc3,LOC_TOTAL,0.3987,0.0,True
cm1,pc3,MAINTENANCE_SEVERITY,0.2573,0.0,False
cm1,pc3,MODIFIED_CONDITION_COUNT,0.2802,0.0,False
cm1,pc3,MULTIPLE_CONDITION_COUNT,0.2802,0.0,False
cm1,pc3,NODE_COUNT,0.2338,0.0,False
cm1,pc3,NORMALIZED_CYLOMATIC_COMPLEXITY,0.3787,0.0,True
cm1,pc3,NUMBER_OF_LINES,0.3819,0.0,True
cm1,pc3,NUM_OPERANDS,0.2174,0.0,False
cm1,pc3,NUM_OPERATORS,0.3127,0.0,True
cm1,pc3,NUM_UNIQUE_OPERANDS,0.2625,0.0,False
cm1,pc3,NUM_UNIQUE_OPERATORS,0.3229,0.0,True
cm1,pc3,PARAMETER_COUNT,0.1063,0.004071,False
cm1,pc3,PERCENT_COMMENTS,0.4003,0.0,True
aeeem_eclipse,aeeem_equinox,cbo,0.1403,0.000115,False
aeeem_eclipse,aeeem_equinox,dit,0.5025,0.0,True
aeeem_eclipse,aeeem_equinox,fanIn,0.2191,0.0,False
aeeem_eclipse,aeeem_equinox,fanOut,0.0795,0.085332,False
aeeem_eclipse,aeeem_equinox,lcom,0.2167,0.0,False
aeeem_eclipse,aeeem_equinox,noc,0.1633,4e-06,False
aeeem_eclipse,aeeem_equinox,numberOfAttributes,0.1722,1e-06,False
aeeem_eclipse,aeeem_equinox,numberOfAttributesInherited,0.5733,0.0,True
aeeem_eclipse,aeeem_equinox,numberOfLinesOfCode,0.2053,0.0,False
aeeem_eclipse,aeeem_equinox,numberOfMethods,0.2167,0.0,False
aeeem_eclipse,aeeem_equinox,numberOfMethodsInherited,0.4645,0.0,True
aeeem_eclipse,aeeem_equinox,numberOfPrivateAttributes,0.1699,1e-06,False
aeeem_eclipse,aeeem_equinox,numberOfPrivateMethods,0.0917,0.030384,False
aeeem_eclipse,aeeem_equinox,numberOfPublicAttributes,0.2896,0.0,False
aeeem_eclipse,aeeem_equinox,numberOfPublicMethods,0.1614,5e-06,False
aeeem_eclipse,aeeem_equinox,rfc,0.156,1.1e-05,False
aeeem_eclipse,aeeem_equinox,wmc,0.2107,0.0,False
aeeem_eclipse,aeeem_lucene,cbo,0.1507,0.0,False
aeeem_eclipse,aeeem_lucene,dit,0.2529,0.0,False
aeeem_eclipse,aeeem_lucene,fanIn,0.1267,4e-06,False
aeeem_eclipse,aeeem_lucene,fanOut,0.1687,0.0,False
aeeem_eclipse,aeeem_lucene,lcom,0.2125,0.0,False
aeeem_eclipse,aeeem_lucene,noc,0.0631,0.073726,False
aeeem_eclipse,aeeem_lucene,numberOfAttributes,0.0749,0.019258,False
aeeem_eclipse,aeeem_lucene,numberOfAttributesInherited,0.541,0.0,True
aeeem_eclipse,aeeem_lucene,numberOfLinesOfCode,0.2122,0.0,False
aeeem_eclipse,aeeem_lucene,numberOfMethods,0.2125,0.0,False
aeeem_eclipse,aeeem_lucene,numberOfMethodsInherited,0.3466,0.0,True
aeeem_eclipse,aeeem_lucene,numberOfPrivateAttributes,0.1241,6e-06,False
aeeem_eclipse,aeeem_lucene,numberOfPrivateMethods,0.0194,0.9969,False
aeeem_eclipse,aeeem_lucene,numberOfPublicAttributes,0.1815,0.0,False
aeeem_eclipse,aeeem_lucene,numberOfPublicMethods,0.1918,0.0,False
aeeem_eclipse,aeeem_lucene,rfc,0.1856,0.0,False
aeeem_eclipse,aeeem_lucene,wmc,0.2505,0.0,False
aeeem_equinox,aeeem_mylyn,cbo,0.1173,0.000909,False
aeeem_equinox,aeeem_mylyn,dit,0.1334,9.5e-05,False
aeeem_equinox,aeeem_mylyn,fanIn,0.054,0.382006,False
aeeem_equinox,aeeem_mylyn,fanOut,0.1137,0.001441,False
aeeem_equinox,aeeem_mylyn,lcom,0.1048,0.004286,False
aeeem_equinox,aeeem_mylyn,noc,0.0376,0.81287,False
aeeem_equinox,aeeem_mylyn,numberOfAttributes,0.1142,0.00135,False
aeeem_equinox,aeeem_mylyn,numberOfAttributesInherited,0.0407,0.731235,False
aeeem_equinox,aeeem_mylyn,numberOfLinesOfCode,0.1213,0.00053,False
aeeem_equinox,aeeem_mylyn,numberOfMethods,0.1048,0.004286,False
aeeem_equinox,aeeem_mylyn,numberOfMethodsInherited,0.2849,0.0,False
aeeem_equinox,aeeem_mylyn,numberOfPrivateAttributes,0.1465,1.2e-05,False
aeeem_equinox,aeeem_mylyn,numberOfPrivateMethods,0.0666,0.164303,False
aeeem_equinox,aeeem_mylyn,numberOfPublicAttributes,0.0811,0.049604,False
aeeem_equinox,aeeem_mylyn,numberOfPublicMethods,0.0875,0.027346,False
aeeem_equinox,aeeem_mylyn,rfc,0.124,0.000366,False
aeeem_equinox,aeeem_mylyn,wmc,0.1867,0.0,False
aeeem_lucene,aeeem_pde,cbo,0.1429,0.0,False
aeeem_lucene,aeeem_pde,dit,0.1597,0.0,False
aeeem_lucene,aeeem_pde,fanIn,0.0393,0.444614,False
aeeem_lucene,aeeem_pde,fanOut,0.1803,0.0,False
aeeem_lucene,aeeem_pde,lcom,0.1523,0.0,False
aeeem_lucene,aeeem_pde,noc,0.0255,0.908197,False
aeeem_lucene,aeeem_pde,numberOfAttributes,0.1115,1.4e-05,False
aeeem_lucene,aeeem_pde,numberOfAttributesInherited,0.1225,1e-06,False
aeeem_lucene,aeeem_pde,numberOfLinesOfCode,0.1111,1.5e-05,False
aeeem_lucene,aeeem_pde,numberOfMethods,0.1523,0.0,False
aeeem_lucene,aeeem_pde,numberOfMethodsInherited,0.4766,0.0,True
aeeem_lucene,aeeem_pde,numberOfPrivateAttributes,0.1602,0.0,False
aeeem_lucene,aeeem_pde,numberOfPrivateMethods,0.1779,0.0,False
aeeem_lucene,aeeem_pde,numberOfPublicAttributes,0.2351,0.0,False
aeeem_lucene,aeeem_pde,numberOfPublicMethods,0.0911,0.000723,False
aeeem_lucene,aeeem_pde,rfc,0.1436,0.0,False
aeeem_lucene,aeeem_pde,wmc,0.1239,1e-06,False
