dataset_a,dataset_b,jaccard_top5,jaccard_top10,spearman_corr,spearman_pvalue,kendall_tau,kendall_pvalue
aeeem_eclipse,aeeem_eclipse_hybrid,0.0,0.1111111111111111,0.8112745098039217,7.738036180608988e-05,0.6470588235294118,0.00012768041939830013
aeeem_eclipse,aeeem_equinox,0.25,0.42857142857142855,0.31617647058823534,0.21632697166875522,0.24999999999999997,0.17665741934030035
aeeem_eclipse,aeeem_equinox_hybrid,0.0,0.1111111111111111,0.26715686274509803,0.2999179120959027,0.14705882352941174,0.43968652710486045
aeeem_eclipse,aeeem_lucene,0.25,0.5384615384615384,0.5710784313725491,0.016646381649637165,0.41176470588235287,0.02172533125679204
aeeem_eclipse,aeeem_lucene_hybrid,0.1111111111111111,0.1111111111111111,0.31617647058823534,0.21632697166875522,0.24999999999999997,0.17665741934030035
aeeem_eclipse,aeeem_mylyn,0.42857142857142855,0.5384615384615384,0.3504901960784314,0.16781533363739962,0.2205882352941176,0.23617204064651248
aeeem_eclipse,aeeem_mylyn_hybrid,0.25,0.3333333333333333,0.3970588235294118,0.11454177561107581,0.2941176470588235,0.10886459480774507
aeeem_eclipse,aeeem_pde,0.25,0.42857142857142855,0.22303921568627455,0.3895228783967918,0.14705882352941174,0.43968652710486045
aeeem_eclipse,aeeem_pde_hybrid,0.42857142857142855,0.25,0.2377450980392157,0.35817139991630287,0.16176470588235295,0.3927276123262421
aeeem_eclipse,cm1,0.0,0.0,,,,
aeeem_eclipse,kc1,0.0,0.0,,,,
aeeem_eclipse,pc1,0.0,0.0,,,,
aeeem_eclipse,pc3,0.0,0.0,,,,
aeeem_eclipse_hybrid,aeeem_equinox,0.0,0.1111111111111111,0.4436274509803922,0.07446849073261598,0.30882352941176466,0.09138624889203259
aeeem_eclipse_hybrid,aeeem_equinox_hybrid,0.42857142857142855,0.6666666666666666,0.6465440401912326,3.735628077204959e-06,0.46573751451800227,1.3877331591207367e-05
aeeem_eclipse_hybrid,aeeem_lucene,0.0,0.1111111111111111,0.4534313725490197,0.06754818013371677,0.3235294117647059,0.07616914862439772
aeeem_eclipse_hybrid,aeeem_lucene_hybrid,0.42857142857142855,0.5384615384615384,0.6697188234340816,1.2328634338549363e-06,0.4959349593495935,3.699896895690668e-06
aeeem_eclipse_hybrid,aeeem_mylyn,0.0,0.1111111111111111,0.17892156862745098,0.4920209629048917,0.13235294117647056,0.4896069682169023
aeeem_eclipse_hybrid,aeeem_mylyn_hybrid,0.0,0.17647058823529413,0.24203873267968562,0.1225118440109061,0.16144018583042974,0.1319652602821487
aeeem_eclipse_hybrid,aeeem_pde,0.0,0.1111111111111111,0.11274509803921569,0.6665920499637249,0.0588235294117647,0.7764940676883935
aeeem_eclipse_hybrid,aeeem_pde_hybrid,0.1111111111111111,0.25,0.45806660724414555,0.0022848723528533918,0.32404181184668984,0.002497603548520182
aeeem_eclipse_hybrid,cm1,0.0,0.0,,,,
aeeem_eclipse_hybrid,kc1,0.0,0.0,,,,
aeeem_eclipse_hybrid,pc1,0.0,0.0,,,,
aeeem_eclipse_hybrid,pc3,0.0,0.0,,,,
