source_dataset,target_dataset,feature_set,model,n_source_rows,n_target_rows,n_common_features,accuracy,precision,recall,f1,mcc,balanced_acc,auc_roc,pr_auc
aeeem_equinox,aeeem_eclipse,static,xgboost,324,997,17,0.3971915747241725,0.23841059602649006,0.8737864077669902,0.37460978147762747,0.13868825629416148,0.5734292342248352,0.6508536570397555,0.332293677283757
aeeem_equinox,aeeem_eclipse,static,lightgbm,324,997,17,0.3981945837512538,0.24010554089709762,0.883495145631068,0.3775933609958506,0.14728824875651603,0.5776514919052937,0.6665766572975096,0.3982905087721188
aeeem_equinox,aeeem_pde,static,logistic_regression,324,1497,17,0.5591182364729459,0.16789396170839468,0.5454545454545454,0.25675675675675674,0.074344683245808,0.5533949745906268,0.5512830990519778,0.15263379856184633
aeeem_equinox,aeeem_pde,static,random_forest,324,1497,17,0.47628590514362057,0.1581450653983353,0.6363636363636364,0.25333333333333335,0.06054398121036497,0.5433370976849238,0.5824355850099557,0.178705805695802
aeeem_equinox,aeeem_pde,static,xgboost,324,1497,17,0.48296593186372744,0.15922798552472858,0.631578947368421,0.2543352601156069,0.06304890204236509,0.5452149395227198,0.557442271687123,0.1559432340764077
aeeem_equinox,aeeem_pde,static,lightgbm,324,1497,17,0.48697394789579157,0.16203143893591293,0.6411483253588517,0.25868725868725867,0.07186542544811736,0.551552423548991,0.5614561353977829,0.16334540124299804
aeeem_equinox,aeeem_mylyn,static,logistic_regression,324,1862,17,0.6740064446831364,0.1813380281690141,0.4204081632653061,0.25338253382533826,0.09752613274160016,0.5664192949907235,0.5896343695177515,0.19802019067710083
aeeem_equinox,aeeem_mylyn,static,random_forest,324,1862,17,0.5998925886143931,0.18513853904282115,0.6,0.2829643888354187,0.13661661069460024,0.5999381570810143,0.6284414322315197,0.2311426117082102
aeeem_equinox,aeeem_mylyn,static,xgboost,324,1862,17,0.5778732545649838,0.1689106487148103,0.563265306122449,0.2598870056497175,0.0976500096106601,0.5716759431045145,0.6150795754294296,0.19042890026841924
aeeem_equinox,aeeem_mylyn,static,lightgbm,324,1862,17,0.5714285714285714,0.17432273262661954,0.6040816326530613,0.27056672760511885,0.11576138822793165,0.5852813852813853,0.619783423573511,0.21363454022835351
aeeem_lucene,aeeem_equinox,static,logistic_regression,691,324,17,0.6666666666666666,0.64,0.37209302325581395,0.47058823529411764,0.27115225756213407,0.6168157423971378,0.6333134565692704,0.5954873955752367
aeeem_lucene,aeeem_equinox,static,random_forest,691,324,17,0.6697530864197531,0.7115384615384616,0.2868217054263566,0.4088397790055249,0.2799211011295132,0.6049493142516399,0.7797058238918705,0.6827053596359409
aeeem_lucene,aeeem_equinox,static,xgboost,691,324,17,0.7345679012345679,0.7362637362637363,0.5193798449612403,0.6090909090909091,0.431658978335385,0.6981514609421586,0.7852315643013318,0.6936487651855596
aeeem_lucene,aeeem_equinox,static,lightgbm,691,324,17,0.7037037037037037,0.7142857142857143,0.4263565891472868,0.5339805825242718,0.3605834924370515,0.6567680381633869,0.7780560524746571,0.7071225757610373
aeeem_lucene,aeeem_eclipse,static,logistic_regression,691,997,17,0.7753259779338014,0.4296875,0.2669902912621359,0.32934131736526945,0.21144867904095696,0.5873510242657076,0.5176991150442478,0.33034375032482033
aeeem_lucene,aeeem_eclipse,static,random_forest,691,997,17,0.7913741223671013,0.49264705882352944,0.32524271844660196,0.391812865497076,0.28076858830674295,0.6190056828642618,0.7134879039681857,0.4233646981550473
aeeem_lucene,aeeem_eclipse,static,xgboost,691,997,17,0.7111334002006018,0.370253164556962,0.5679611650485437,0.4482758620689655,0.27530556727332633,0.6581904434597965,0.693088507849226,0.4267616727997932
aeeem_lucene,aeeem_eclipse,static,lightgbm,691,997,17,0.7452357071213641,0.41044776119402987,0.5339805825242718,0.4641350210970464,0.30523938701063064,0.667116713512452,0.6951382666650302,0.41312911989459083
aeeem_lucene,aeeem_pde,static,logistic_regression,691,1497,17,0.7648630594522378,0.23018867924528302,0.291866028708134,0.25738396624472576,0.12120541574200036,0.566740467770216,0.5715455882789979,0.22779937686842128
aeeem_lucene,aeeem_pde,static,random_forest,691,1497,17,0.8089512358049432,0.24836601307189543,0.18181818181818182,0.20994475138121546,0.10587169552212115,0.5462662337662337,0.6241158726856667,0.22223393075064654
aeeem_lucene,aeeem_pde,static,xgboost,691,1497,17,0.7428189712758851,0.23333333333333334,0.3684210526315789,0.2857142857142857,0.14379644136446768,0.5859962406015038,0.6365047995482779,0.22702060364462087
aeeem_lucene,aeeem_pde,static,lightgbm,691,1497,17,0.7327989311957248,0.20972644376899696,0.33014354066985646,0.25650557620817843,0.10736711591949975,0.5641400933162947,0.6277396802282386,0.21241612632659176
aeeem_lucene,aeeem_mylyn,static,logistic_regression,691,1862,17,0.7588614393125671,0.18125,0.23673469387755103,0.20530973451327433,0.06693877964304272,0.5373531230674088,0.5165133214695896,0.18379198510808462
aeeem_lucene,aeeem_mylyn,static,random_forest,691,1862,17,0.855531686358754,0.3888888888888889,0.17142857142857143,0.23796033994334279,0.18888404462379105,0.5653061224489796,0.623568462635518,0.23907375351818522
aeeem_lucene,aeeem_mylyn,static,xgboost,691,1862,17,0.8297529538131042,0.3125,0.24489795918367346,0.2745995423340961,0.1814776342597813,0.5816326530612245,0.62143172667954,0.2422653976282058
aeeem_lucene,aeeem_mylyn,static,lightgbm,691,1862,17,0.8276047261009667,0.28160919540229884,0.2,0.23389021479713604,0.1424980281588916,0.56134817563389,0.629523052263577,0.24014612941232436
aeeem_mylyn,aeeem_equinox,static,logistic_regression,1862,324,17,0.6604938271604939,0.5748031496062992,0.5658914728682171,0.5703125,0.2897527286424661,0.6444841979725701,0.6659908566885312,0.6312519685463986
aeeem_mylyn,aeeem_equinox,static,random_forest,1862,324,17,0.6820987654320988,0.6756756756756757,0.3875968992248062,0.49261083743842365,0.30844999781277915,0.6322599880739416,0.7354005167958656,0.6320095416824713
aeeem_mylyn,aeeem_equinox,static,xgboost,1862,324,17,0.6049382716049383,0.5031847133757962,0.6124031007751938,0.5524475524475524,0.20804867371995486,0.6062015503875968,0.6507453786523554,0.5892732598779
aeeem_mylyn,aeeem_equinox,static,lightgbm,1862,324,17,0.6882716049382716,0.6458333333333334,0.4806201550387597,0.5511111111111111,0.32832282298757376,0.6531305903398926,0.6657324587557145,0.5770114967159888
aeeem_mylyn,aeeem_eclipse,static,logistic_regression,1862,997,17,0.506519558676028,0.25925925925925924,0.7475728155339806,0.385,0.1578428571482295,0.595657457071668,0.5717599695604679,0.2587261365579126
aeeem_mylyn,aeeem_eclipse,static,random_forest,1862,997,17,0.7893681043129388,0.4807692307692308,0.24271844660194175,0.3225806451612903,0.2310742226286594,0.5872252157156359,0.7104347452530285,0.3996931013036763
aeeem_mylyn,aeeem_eclipse,static,xgboost,1862,997,17,0.7091273821464393,0.3359375,0.4174757281553398,0.3722943722943723,0.18773357771413599,0.6012789513090226,0.6489941452996698,0.41923819922436933
aeeem_mylyn,aeeem_eclipse,static,lightgbm,1862,997,17,0.7763289869608826,0.453551912568306,0.4029126213592233,0.4267352185089974,0.28917724504605885,0.6382451855215838,0.6537564591950707,0.4182402992582718
aeeem_mylyn,aeeem_lucene,static,logistic_regression,1862,691,17,0.7395079594790159,0.14634146341463414,0.375,0.21052631578947367,0.10337693571507321,0.5758572567783093,0.5607057416267942,0.19800706072267832
aeeem_mylyn,aeeem_lucene,static,random_forest,1862,691,17,0.8596237337192475,0.22033898305084745,0.203125,0.21138211382113822,0.13461060473226716,0.564879884370016,0.6359399920255183,0.18454322200318893
aeeem_mylyn,aeeem_lucene,static,xgboost,1862,691,17,0.85383502170767,0.22388059701492538,0.234375,0.22900763358778625,0.14836647644400106,0.5757201953748006,0.587121212121212,0.18218198380557907
aeeem_mylyn,aeeem_lucene,static,lightgbm,1862,691,17,0.8552821997105644,0.2,0.1875,0.1935483870967742,0.11421972059114047,0.5554724880382775,0.6227073365231259,0.19741745077539108
aeeem_mylyn,aeeem_pde,static,logistic_regression,1862,1497,17,0.6993987975951904,0.2704761904761905,0.6794258373205742,0.3869209809264305,0.27749567244662793,0.6910327944366845,0.7302761597670064,0.3478370733696423
aeeem_mylyn,aeeem_pde,static,random_forest,1862,1497,17,0.8036072144288577,0.32510288065843623,0.37799043062200954,0.3495575221238938,0.2355951522744531,0.6253306190377128,0.7325737763380784,0.30900912642365963
aeeem_mylyn,aeeem_pde,static,xgboost,1862,1497,17,0.7414829659318637,0.29107981220657275,0.5933014354066986,0.3905511811023622,0.27562559302939627,0.6794146928586288,0.7203297274807572,0.3155964175828352
aeeem_mylyn,aeeem_pde,static,lightgbm,1862,1497,17,0.779559118236473,0.3149847094801223,0.49282296650717705,0.3843283582089552,0.26750524401278397,0.659454961514458,0.7208070819340842,0.32789195161106793
aeeem_pde,aeeem_equinox,static,logistic_regression,1497,324,17,0.6790123456790124,0.6262626262626263,0.4806201550387597,0.543859649122807,0.30910927595071785,0.645438282647585,0.632637646591135,0.5897432240504621
aeeem_pde,aeeem_equinox,static,random_forest,1497,324,17,0.5987654320987654,0.49411764705882355,0.32558139534883723,0.3925233644859813,0.11691671081421455,0.5525342874180084,0.5670045716557344,0.5128672763649563
aeeem_pde,aeeem_equinox,static,xgboost,1497,324,17,0.5925925925925926,0.4881889763779528,0.4806201550387597,0.484375,0.14768659507777368,0.5736434108527132,0.6271914132379248,0.5717390804133324
aeeem_pde,aeeem_equinox,static,lightgbm,1497,324,17,0.5524691358024691,0.42592592592592593,0.35658914728682173,0.3881856540084388,0.040125028212920376,0.5193202146690519,0.5362750944146293,0.4579896061987822
aeeem_pde,aeeem_eclipse,static,logistic_regression,1497,997,17,0.708124373119358,0.2727272727272727,0.24757281553398058,0.2595419847328244,0.0784515924079771,0.5378192775520725,0.47447620684153036,0.2883760663278565
aeeem_pde,aeeem_eclipse,static,random_forest,1497,997,17,0.7893681043129388,0.4838709677419355,0.2912621359223301,0.36363636363636365,0.25807760383982936,0.6051759478600273,0.710799896898359,0.43623710747255473
aeeem_pde,aeeem_eclipse,static,xgboost,1497,997,17,0.7422266800401204,0.3824884792626728,0.4029126213592233,0.39243498817966904,0.22911009582724967,0.6167534029678544,0.6558675880353,0.422833341971577
aeeem_pde,aeeem_eclipse,static,lightgbm,1497,997,17,0.7703109327983951,0.4195804195804196,0.2912621359223301,0.3438395415472779,0.21523434347042592,0.5931658340800019,0.6436426791697862,0.40651094098363505
aeeem_pde,aeeem_lucene,static,logistic_regression,1497,691,17,0.7496382054992764,0.15286624203821655,0.375,0.2171945701357466,0.11268544689841774,0.5814393939393939,0.5557216905901117,0.2291225248535763
aeeem_pde,aeeem_lucene,static,random_forest,1497,691,17,0.8523878437047757,0.2361111111111111,0.265625,0.25,0.1688115089190947,0.588952850877193,0.5875822368421052,0.17600514140620305
aeeem_pde,aeeem_lucene,static,xgboost,1497,691,17,0.743849493487699,0.16568047337278108,0.4375,0.24034334763948498,0.14339978016921692,0.6063098086124402,0.5664374003189793,0.16247131662769798
aeeem_pde,aeeem_lucene,static,lightgbm,1497,691,17,0.784370477568741,0.1487603305785124,0.28125,0.1945945945945946,0.08922554613075778,0.5584878389154705,0.5514354066985646,0.14742584730556244
aeeem_pde,aeeem_mylyn,static,logistic_regression,1497,1862,17,0.7491944146079484,0.2607758620689655,0.49387755102040815,0.34132581100141046,0.22019080116987907,0.640878169449598,0.6914202415660141,0.2855113731087834
aeeem_pde,aeeem_mylyn,static,random_forest,1497,1862,17,0.8061224489795918,0.2819548872180451,0.30612244897959184,0.29354207436399216,0.1816119217610652,0.5940012368583798,0.670394911211238,0.24249066174377942
aeeem_pde,aeeem_mylyn,static,xgboost,1497,1862,17,0.7518796992481203,0.24349881796690306,0.4204081632653061,0.3083832335329341,0.17950998498086174,0.6112554112554113,0.6811618896167002,0.2564328960778385
aeeem_pde,aeeem_mylyn,static,lightgbm,1497,1862,17,0.8007518796992481,0.27007299270072993,0.3020408163265306,0.28516377649325625,0.17018557950364513,0.5891774891774891,0.6571075183320082,0.24365483999324472
cm1,pc1,static,logistic_regression,327,705,37,0.8780141843971632,0.23404255319148937,0.18032786885245902,0.2037037037037037,0.14023663113404936,0.5622136238672233,0.7177985948477752,0.20329996429976901
cm1,pc1,static,random_forest,327,705,37,0.9035460992907801,0.3157894736842105,0.09836065573770492,0.15,0.13571664245385645,0.5390871601669891,0.8133209449139598,0.2755648573093604
cm1,pc1,static,xgboost,327,705,37,0.9035460992907801,0.29411764705882354,0.08196721311475409,0.1282051282051282,0.1160710317887782,0.5316668363710416,0.7640133387638735,0.241706149814571
cm1,pc1,static,lightgbm,327,705,37,0.8921985815602836,0.2,0.08196721311475409,0.11627906976744186,0.07739228757261211,0.5254556562468181,0.7349811628143774,0.21293524902519784
cm1,pc3,static,logistic_regression,327,1563,37,0.8829174664107485,0.31746031746031744,0.125,0.17937219730941703,0.14541902372706145,0.5471756949394155,0.703494743406985,0.21162140116486522
cm1,pc3,static,random_forest,327,1563,37,0.8963531669865643,0.46153846153846156,0.075,0.12903225806451613,0.15410666431636735,0.5325106913756237,0.7538444404846758,0.24775213613608654
cm1,pc3,static,xgboost,327,1563,37,0.891874600127959,0.3448275862068966,0.0625,0.10582010582010581,0.10997581442508189,0.5244787954383464,0.6690284212401996,0.2096571660190657
cm1,pc3,static,lightgbm,327,1563,37,0.8867562380038387,0.3111111111111111,0.0875,0.13658536585365855,0.11856438426079426,0.532702245188881,0.7037508909479685,0.21712720090511883
pc1,cm1,static,logistic_regression,705,327,37,0.5902140672782875,0.18493150684931506,0.6428571428571429,0.2872340425531915,0.15164152940487435,0.61265664160401,0.6389306599832916,0.2143009255591295
pc1,cm1,static,random_forest,705,327,37,0.7767584097859327,0.25396825396825395,0.38095238095238093,0.3047619047619048,0.18327752319349946,0.6080200501253132,0.7421052631578947,0.3227606880842146
