dataset,feature_set,model,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,mcc_mean,mcc_std,balanced_acc_mean,balanced_acc_std,pr_auc_mean,pr_auc_std
aeeem_eclipse,static,logistic_regression,5,0.8034321608040201,0.025709089813879118,0.5189457077295093,0.04816713030349495,0.665040650406504,0.08857685333310468,0.5818912700970752,0.060685858354191324,0.8065555628602109,0.03884320829384256,0.4629716094477894,0.07722549733196889,0.752248053887274,0.04522644666750478,0.6078758466366874,0.09436543338705225
aeeem_eclipse,static,random_forest,5,0.8405477386934674,0.0293624673869245,0.6251212592454551,0.07748248022053779,0.5778164924506388,0.12190005010227815,0.5958701621872977,0.08977322407268672,0.8719594927277534,0.039799393751954126,0.5009749395063997,0.10175473844222915,0.7434102763184649,0.0588068347925249,0.6787361496774398,0.1257562423961615
aeeem_eclipse,static,xgboost,5,0.8365326633165828,0.01936095542019969,0.6123571167597475,0.05207111744232313,0.5873403019744483,0.09917196272888162,0.5949954316245396,0.05797267407336026,0.8595781228718835,0.02964468642881861,0.49646115875655933,0.0635782232971077,0.7443826738755293,0.042080604254373453,0.6817802224930871,0.08609912623298566
aeeem_eclipse,static,lightgbm,5,0.84156783919598,0.02273714284393347,0.6314231953776617,0.0717445767156533,0.5875725900116144,0.0601828897760257,0.6053724754442115,0.04218268801234746,0.8608895766360509,0.029050176828992212,0.5094268676948228,0.05634025926765666,0.7476554137065476,0.028439346056893394,0.6740551779460606,0.07627996042451153
aeeem_eclipse,static,logistic_regression,10,0.8023636363636364,0.04192778298238261,0.5216680779641135,0.0883886880127613,0.6542857142857142,0.09415923321318273,0.5783654794438279,0.08364220892730527,0.7996368670886075,0.05622140710395588,0.45854075923434595,0.10816988934136332,0.7475305153707051,0.05583134112755764,0.6120476823220666,0.12277796353214036
aeeem_eclipse,static,random_forest,10,0.8435151515151513,0.04509313359142832,0.635247971707926,0.12804891072330032,0.5866666666666667,0.12720318407096928,0.6061878306915175,0.1147865402569855,0.8636492427667269,0.039806604943500905,0.5123348426046049,0.143014873890749,0.7484836497890296,0.07165497076089557,0.6695834214615888,0.13142281300981118
aeeem_eclipse,static,xgboost,10,0.8455151515151516,0.03819844767585865,0.6288728534892217,0.09716103291924862,0.6257142857142857,0.10393977557381044,0.6250680364144257,0.09362510881253673,0.8587529008438818,0.03810790154453446,0.5295877258384307,0.11611502641503518,0.7642020795660037,0.059544989959144444,0.6771572684678291,0.11337118241049224
aeeem_eclipse,static,lightgbm,10,0.8424949494949494,0.03257725137736828,0.6319648965959035,0.09149898913582,0.5914285714285714,0.10022147306536301,0.6066982860416512,0.07998292178376346,0.8513131404460518,0.04227980191595948,0.51215632100982,0.09855472216787513,0.7495987793851718,0.05231752969963179,0.6648002516737714,0.11689936444843542
aeeem_eclipse,hybrid,logistic_regression,5,0.8244824120603015,0.02448939178176257,0.5700678105774593,0.055104897397250864,0.6310104529616726,0.04730213801127584,0.5983111894553803,0.04685974210483056,0.8098701195309745,0.05583712863560121,0.48802084524203265,0.061682065812932584,0.75292262955384,0.029871071981490346,0.627443202741398,0.10243823256929693
aeeem_eclipse,hybrid,random_forest,5,0.8445276381909548,0.024294029486484656,0.6254984934942518,0.048692580244401575,0.6214866434378629,0.12207172852289061,0.6187609541797451,0.07773045432262791,0.8598810141006661,0.0379919969475047,0.5247732940865092,0.08624882819476946,0.7620648725508716,0.056882513823411765,0.6819861497482295,0.09397372754833368
aeeem_eclipse,hybrid,xgboost,5,0.8445427135678392,0.02915791202643927,0.6230587958053493,0.06187539950327341,0.6263646922183507,0.09449120747647764,0.6234526103096424,0.07426622583501895,0.8470004496523863,0.04093304190894197,0.526510978415022,0.0911579066474953,0.7638670049739155,0.05120576645335024,0.6565022789544811,0.07278869435811695
aeeem_eclipse,hybrid,lightgbm,5,0.8535628140703517,0.015594985755609367,0.6585902846367963,0.02338570093010709,0.6019744483159116,0.10118670602207727,0.6259327452328513,0.06551888559273672,0.8603227677505204,0.02876806989816719,0.5383094553226421,0.06734602599783622,0.7605326425163669,0.046336344646202114,0.6712063796457537,0.07240620095564083
aeeem_eclipse,hybrid,logistic_regression,10,0.8163838383838385,0.03647267602352069,0.554122383252818,0.09410285138313429,0.6207142857142858,0.0981502516923998,0.5825554892751161,0.08305808944686466,0.8019234101868596,0.05494757551829052,0.4692018388050605,0.10584714710527138,0.743996383363472,0.0542376475275206,0.6374164178171323,0.11081802327232203
aeeem_eclipse,hybrid,random_forest,10,0.8484646464646465,0.04265215356167409,0.6396835453549008,0.11032669658679309,0.6100000000000001,0.14823561288090617,0.6192044614514163,0.12237962369437475,0.8679013524713683,0.057387599905627626,0.5289524673606738,0.14319240325623506,0.760134493670886,0.07813778165125707,0.6856421316192947,0.12991603822786635
aeeem_eclipse,hybrid,xgboost,10,0.8465050505050504,0.03848156971460356,0.638270996043038,0.11632260509041953,0.6261904761904762,0.10527771046851066,0.6273437695297798,0.09192172564012618,0.8562380575647982,0.0515603921328461,0.53465598147565,0.11617107056646062,0.7650809975889089,0.05711624010570362,0.6836570238213079,0.09116706138210691
aeeem_eclipse,hybrid,lightgbm,10,0.8595353535353535,0.0425966833717769,0.6825829889065184,0.1163037714275975,0.6111904761904762,0.11398245700065106,0.6416606785027836,0.10621330510151084,0.8639144062688366,0.04284488172839112,0.5583565831596697,0.1312793838396661,0.7676759342977697,0.0659410608938418,0.6977765344382021,0.09753319968242923
aeeem_equinox,static,logistic_regression,5,0.7006730769230769,0.0292669626635614,0.6244102564102565,0.028730766370324456,0.6203076923076923,0.09485211161024869,0.6198452343390818,0.05939030442839385,0.803826429980276,0.03128319539458457,0.3754333191862776,0.06899104983768356,0.687076923076923,0.0379719263751054,0.749701609146262,0.04037926352706338
aeeem_equinox,static,random_forest,5,0.6913942307692308,0.03727140012143138,0.596891495601173,0.03441571063158663,0.6901538461538461,0.12086767178547057,0.6365964650822287,0.06686618673518502,0.7777278106508876,0.037714026071063604,0.3779751870154045,0.08985768889546779,0.6912307692307692,0.04791902275315471,0.6718242251103123,0.07018321295709601
aeeem_equinox,static,xgboost,5,0.6946153846153845,0.07335977647685227,0.6046936337258917,0.08040804042622814,0.6907692307692308,0.08777324200366715,0.643611859838275,0.07832533073650612,0.7857357001972386,0.040606363431428705,0.382658297693722,0.1442007416311206,0.6941025641025641,0.07342248480865146,0.6980361851803671,0.06205387021821299
aeeem_equinox,static,lightgbm,5,0.6761057692307693,0.07130708875045375,0.5888465608465608,0.0809845908877441,0.6519999999999999,0.08295147223263812,0.6166568580585793,0.07222865564879455,0.7743984220907297,0.05319311247311783,0.34126478923467,0.13589952910072714,0.6721538461538461,0.06878527127024534,0.6818378183055973,0.07889512563084843
aeeem_equinox,static,logistic_regression,10,0.7040719696969697,0.073106019717893,0.6311419054801408,0.09511876253172401,0.6128205128205128,0.16504802427709758,0.6151743988145787,0.11827665216286591,0.7986639676113361,0.06771013492984863,0.38195492069559633,0.16427097949682437,0.6883839406207828,0.08327761869107769,0.754689702444586,0.06737687792648066
aeeem_equinox,static,random_forest,10,0.6881628787878789,0.09878290537730272,0.6004397210976158,0.126218424952696,0.6826923076923077,0.18562092609705463,0.6301103723862346,0.13311583815784125,0.7877682186234817,0.0645524999421349,0.37454777598618866,0.2114565966515913,0.6868724696356275,0.10445835642904351,0.7030618938965129,0.09627759277286732
aeeem_equinox,static,xgboost,10,0.6792613636363637,0.07523633022212285,0.5815455304928989,0.09128663164165451,0.6583333333333334,0.1832145033577614,0.611601810700338,0.12310069317731628,0.791998987854251,0.05566397998903931,0.34847017411789344,0.1765094428477819,0.6750877192982455,0.08932414774425458,0.7112209335572558,0.07819622954451914
aeeem_equinox,static,lightgbm,10,0.6978219696969697,0.07893617116749987,0.6149655246714071,0.10036447660571719,0.6506410256410257,0.18679784885202513,0.6226341591502882,0.12496202696152302,0.7968286099865047,0.04959298424530631,0.3816043330860925,0.17548604900342746,0.6892678812415653,0.08936801036877573,0.7241708799414334,0.06743259998683863
